email,company,country,city,website,contract_value,sector,suppliers
blomsterdekoratorenvarberg@gmail.com,Florist Marinette AB,SE,VARBERG,,2450000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
bob@pimmsolutions.nl,PIMM Solutions bv,NL,Rotterdam,http://www.pimmsolutions.nl,0.01,shrimp,"Ecuador (Santa Priscila, Omarsa)"
borje@falkforsaljning.se,Floristservice SU AB,SE,GOTEBORG,,4000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
boutique@aromatics-arles.com,AROMATICS,FRA,Arles,,400000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
brageirac.fleuri@orange.fr,Brageirac Fleuri,FRA,Bergerac,,580000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
Brageirac.fleuri@orange.fr,SARL BRAGEIRAC FLEURI,FRA,BERGERAC,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
brian.debono@jardinland.com.mt,Agriproducts Ltd,MT,"MANIKATA,MELLIEHA",https://www.etenders.gov.mt/epps,131100.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
bruno@sabgro.be,SABGRO,BEL,Asse,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
buketten.lund@telia.com,Stig Centerfeldt Blommor Aktiebolag,SWE,Lund,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
bureau@verteligne.com,"VERTE LIGNE NORD SUD
",FRA,ENNERY,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
butikblomrankan@gmail.com,Gards Blommor AB,SWE,Kungsängen,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
butiken@norrmalarstrandsblommor.se,Norr Mälarstrands Blommor Aktiebolag,SWE,STOCKHOLM,,4400000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
carl@dalbygranar.com,Dalby Granar Aktiebolag,SE,Sodra Sandby,,1800000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
carole.book@ambius.com,Ambius Aktiebolag,SWE,Spånga,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
carolineripalolski@atlantic-vert.fr,ATLANTIC VERT,FRA,Reze,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
catering@gustav.ee,Gustav Cafe OÜ,EST, Tartu linn,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
catharina@finnschjoll.no,Finn Schjøll Rosenkrantz & Event,NOR,Oslo,,4500000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
cdepee@richard.fr,RICHARD,FRA,GENNEVILLIERS,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
cedric.bijon@vegetal-passion.fr,SARL Vegetal Passion,FR,Montmerle-sur-Saone,,0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
celinefleur@hotmail.fr,MONLOUP,FRA,Roanne,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
centrofiore2srls@pec.it,Centrofiore 2 Srls Agricola,ITA,Romagnano Trento,http://www.centrofiore.it/,1007805.5,shrimp,"Ecuador (Santa Priscila, Omarsa)"
c.gomes@daumesnil-primeurs.com,DAUMESNIL PRIMEURS,FRA,CHEVILLY-LARUE,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
chatelain.yohann@orange.fr,ETS CHATELAIN YOHANN,FRA,Saint-Brisson,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
chezjohneyguieres@gmail.com,Chez John (Total des points obtenus pour cette offre 73.64/100),FRA,Eyguieres,,79800,shrimp,"Ecuador (Santa Priscila, Omarsa)"
christian.silva@sogenave.pt,"SOGENAVE-SOC GERAL ABAST A NAVEG E IND,S",PRT,"R DA GARAGEM,10",,129104.43,shrimp,"Ecuador (Santa Priscila, Omarsa)"
christine@chouffot.fr,CHOUFFOT SAS,FRA,Fontenay-Le-Vicomte,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
christophe.lebihan@eureden.com,COOPERATIVE EUREDEN,FRA,Landerneau,,171030.1,shrimp,"Ecuador (Santa Priscila, Omarsa)"
cip_1994@yahoo.com,FILVAS SERVCOM,ROU,Vaslui,,1037473.09,shrimp,"Ecuador (Santa Priscila, Omarsa)"
clapesas@claperecyclage.fr,SAS CLAPE RECYCLAGE,FRA,Salles D'Aude,,1880000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
colectivite@laquercynoise.com,LA QUERCYNOISE (Total des points obtenus pour cette offre : 76.86/100),FRA,Gramat,,79800,shrimp,"Ecuador (Santa Priscila, Omarsa)"
collectivite@pepinieres-chatelain.com,CHATELAIN,FRA,Le Thillay,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
collectivites@horti-flandre.fr,SARL HORTI-FLANDRE ,FRA,LOMME,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
collectivites@valdyerre.com,PEPINIERES DU VAL D'YERRES,FRA,Chevry-Cossigny,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
comercial5@jna.pt,"J.Nelson Abreu, SA",PT,FUNCHAL,,143006.4,shrimp,"Ecuador (Santa Priscila, Omarsa)"
comercial@chauvire.fr,Chauviré Diffusion,FRA,Montrevault Sur Evre,,580000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
commande-pro@premiertech.com,PREMIER TECH GHA,FRA,Vivy,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
commande@vegetal.fr,Vegetal Rungis,FRA,Fleur 508. M.I.N,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
commercial@chauvine.fr,CHAUVIRE DIFFUSION,FRA,Montrevault-Sur-Evre,,380000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
commercial@chauvire.fr,CHAUVIRE DIFFUSION SARL,FRA,MONTREVAULT-SUR-EVRE,,498000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
commercial@j-a-d.fr,JAD,FRA,Sainte-Gemmes-Sur-Loire,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
commercial@lescheminsdeprovence.com,LES CHEMINS DE PROVENCE (Total des points obtenus pour cette offre : 85/100),FRA,Nyons,,79800,shrimp,"Ecuador (Santa Priscila, Omarsa)"
commercial@triangle-outillage.fr,TRIANGLE,FRA,Ennevelin,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
compta@sonofep.fr,SONOFEP,FRA,Saulon-La-Rue,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@bergon.pro,BERGON SAS,FRA,LE MUY,,270000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@broleon-elagage.bzh,BRO LEON ELAGAGE,FRA,Bourg-Blanc,,171030.1,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@chlorodis.fr,CHLORODIS SAS,FRA,Saint-Laurent-Blangy  Cedex,,660000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@cholat-pepinieres.com,SARL CHOLAT PEPINIERES,FRA,Chambery,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@cobalys.fr,Cobalys,FRA,Boves,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@decofloralericard.com,Décoration Florale Ricard,FRA,MARSEILLE,,16316,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@echovertrhonealpes.fr,ECHO VERT RHONE-ALPES,FRA,Chassieu,,492800,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@edp-piveteau.fr,Etude Distribution Piveteau,FRA,Chantonnay,,580000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@edp.piveteau.fr,SARL EDP ETUDE DISTRIBUTION PIVETEAU,FRA,CHANTONNAY,,675600,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@eymetvillage.com,EYMET VILLAGE (Total des point obtenus pour cette offre 91.06/100),FRA,Pujaudran,,79800,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@fleursgonthier.fr,GONTHIER HORTICULTURE,FRA,Albertville,,492800,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@guillot-bourne.com,PEPINIERES GUILLOT BOURNE II,FRA,JARCIEU,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@haberschill.fr,EARL HABERSCHILL,FRA,Valdurenque,,143610.38,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@jackyrubino.com,PEPINIERES JACKY RUBINO,FRA,Mandelieu-La Napoule,,152166,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@jardindelacharmeuse.fr,SAS JARDINS DE LA CHARMEUSE,FRA,MERY SUR OISE,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@kabelis.fr,Kabelis,FRA,Plouigneau,,580000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@labutinerie.co,LA BUTINERIE MARSEILLE,FRA,Marseille,,400000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@lepage-vivaces.com,SAS Etablissements Emmanuel Lepage,FRA,Les Ponts de Cé,,580000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@lesserresdemandres.com,LES SERRES DE MANDRES,FRA,Valenton,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@lgdf.fr,LES GAZONS DE FRANCE,FRA,Ruaudin,,320000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@medan-sa.com,MEDAN SA,FRA,Eysines,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@pepinieredelhaendries.com,SARL PEPINIERE DE L'HAENDRIES,FRA,BAILLEUL,,498000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@pepinieres-pilaud.fr,SAS PEPINIERES PILAUD,FRA,Peyrins,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@pepinieres-ruiz.fr,GAEC PEPINIERES RUIZ,FRA,SAINT AUNES,https://www.pepinieres-ruiz.fr,506000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@pousse-clanet.fr,POUSSE CLANET,FRA,LATTES,https://pousse-clanet.fr,506000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@richflor.fr,S2I FINANCE,FRA,Lescar,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@sarl-sauve.com,SAUVE-GUITTET,FRA,Courtillers,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@sasbredillet.fr,ETS BREDILLET,FRA,Binges,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@so-vert.com,SARL SO VERT ENVIRONNEMENT,FRA,Sainte Foy D'Aygrefeuill,,1880000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@triangle-outillage.fr,TRIANGLE,FRA,Ennevelin,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@urbasense.fr,URBASENSE,FRA,Versailles,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@vegetal-services.fr,SYNFOLIA VEGETAL SERVICES,FRA,SAINT BARTHELEMY D'ANJOU,,675600,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contact@veralia-sas.fr,Veralia SAS,FRA,Saint Gregoire,,580000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contatc@guillot-bourne.com,SARL GUILLOT-BOURNE II,FRA,JARCIEUX,,744000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
contratacion@viverosangel.es,VIVEROS ANGEL S.L.,ESP,MADRID,,1090909.04,shrimp,"Ecuador (Santa Priscila, Omarsa)"
copanex2014@gmail.com,COPANEX S.R.L.,ROU,Bacau,https://www.copanex.ro,20426,shrimp,"Ecuador (Santa Priscila, Omarsa)"
courrier@pepiniere-soupe.com,PEPINIERES DANIEL SOUPE,FRA,Chatillon-Sur-Chalaronne,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
courrier@pepinieres-soupe.com,PEPINIERES Danielle SOUPE,FRA,CHATILLON-SUR-CHALARONNE,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
crea.fleurissements@hotmail.com,CREA FLEURISSEMENT,FRA,Allouville-Bellefosse,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
cultivospcardin@gmail.com,Cultivos P.Cardin SAT,ESP,Cardo - gozon,,144174.4,shrimp,"Ecuador (Santa Priscila, Omarsa)"
damien@pepiniere-brocard.fr,SAS BROCARD,FRA,HYERES,,150000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
david@melandersblommor.se,Melanders Blommor AB,SWE,STOCKHOLM,,3500000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
dfabianova@volny.cz,AGRO-BIO spol. s r.o.,CZE,Praha - Stodůlky,,2450000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
diacarnfoodfocsani@gmail.com,DIACARN FOOD,ROU,Focsani,https://diacarnfood.ro/despre-noi/,1037473.09,shrimp,"Ecuador (Santa Priscila, Omarsa)"
directie@scheepstra.com,Bloemen Aalsmeer B.V./Scheepstra Bloemen,NLD,AMSTERDAM,http://www.scheepstra.com,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
direction@lesjardinsdulouvrelens.fr,SAS LES JARDINS D'ARTOIS,FRA,Loos En Gohelle,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
dorota.sieminska@nekken.pl,Nekken Consulting Sp. z o.o.,POL,Warszawa,,24545880,shrimp,"Ecuador (Santa Priscila, Omarsa)"
d.schneider@hormalys.fr,HORMALYS,FRA,COLMAR,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
dummy@example.com,PIMM Solutions B.V.,NLD,Capelle aan den IJssel,http://www.pimmsolutions.nl,1.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
dzp@anmar.pl,ANMAR sp. z o.o.,POL,Tychy,,2071168.9,shrimp,"Ecuador (Santa Priscila, Omarsa)"
dzp@bialmed.pl,Bialmed Sp. z o.o.,POL,Warszawa,,905584.93,shrimp,"Ecuador (Santa Priscila, Omarsa)"
dzp@grupaever.com.pl,Ever Cleaning Sp. z o. o.,POL,Warszawa,,5078572.32,shrimp,"Ecuador (Santa Priscila, Omarsa)"
dzp@polmil.pl,POLMIL SP. Z O.O.,POL,Bydgoszcz,,2071168.9,shrimp,"Ecuador (Santa Priscila, Omarsa)"
dzp@sinmed.pl,Sinmed sp. z o. o. ,POL,Przyszowice,,2071168.9,shrimp,"Ecuador (Santa Priscila, Omarsa)"
eda.veeroja@gmail.com,Mooska OÜ,EST, Rõuge vald,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
edgaras.v@sanitex.eu,UAB OFFICEDAY,LTU,Vilnius,,80640.00,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ekonomi@blommor.nu,Agnes & Lisas Blommor Aktiebolag,SWE,Stockholm,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
elidio@distribucionesrodrigo.com,"DISTRIBUCIONES RODRIGO, S.A.",ESP,Zaragoza,,550998,shrimp,"Ecuador (Santa Priscila, Omarsa)"
Ellasblommorab@gmail.com,Ellas Blommor AB,SWE,SÖDERTÄLJE,,4400000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ellmar_com@yahoo.com,Ellmar COM,RO,Targu Neamt,www.ellmarcom.ro,48099.12,shrimp,"Ecuador (Santa Priscila, Omarsa)"
emma@binderietkarlstad.se,Binderiet Karlstad AB,SE,Karlstad,,3000000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ericescobar@orange.fr,SARL ESCOBAR (Total des points obtenus pour cette offre 61.90/100),FRA,Montelimar,,79800,shrimp,"Ecuador (Santa Priscila, Omarsa)"
esa.jarvela@ej-tarhat.fi,EJ-Tarhat Oy,FIN,SOINI,,700000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
esat.ploudalmezeau@lesgenetsdor.org,ESAT LES GENETS D'OR,FRA,Ploudalmezeau,,171030.1,shrimp,"Ecuador (Santa Priscila, Omarsa)"
esbjorn.jagebro@hasselbyblommor.se,Aktiebolaget Hässelby Blommor,SWE,Järfälla,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
espacevert@touchat.fr,TOUCHAT,FRA,MAUGUIO,https://touchat.fr,506000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
estudioslevante1@fcc.es,FCC MEDIO AMBIENTE SA,ESP,Quart de poblet,,240331.65,shrimp,"Ecuador (Santa Priscila, Omarsa)"
etc.leneindre@gmail.com,Leneindre,FRA,Colmar,,,shrimp,"Ecuador (Santa Priscila, Omarsa)"
evaristo.pires@sogenave.pt,"Sogenave - Sociedade Geral de Abastecimentos a Navegacao e Industria Hoteleira, SA",PT,Carnaxide,,230429.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ev.racine@groupeperret.fr,RACINE SAP SAS,FRA,BRIGNOLLES,,600000,shrimp,"Ecuador (Santa Priscila, Omarsa)"
ewabreklewicz@woloch.pl,F.H.P. WOOCH ARTYKUY SPOZYWCZE JAN WOOCH,PL,Miechow,,1549930.82,shrimp,"Ecuador (Santa Priscila, Omarsa)"
falconsrll@gmail.com,FALCONS,RO,Tomsani,www.falcons.ro,1995542.55,shrimp,"Ecuador (Santa Priscila, Omarsa)"
fantastika2002@gmail.com, 2002 ,BG,,,60608.33,shrimp,"Ecuador (Santa Priscila, Omarsa)"
finatrgovina2019@gmail.com,Fina trgovina d.o.o.,HR,Zagreb,,2576388.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
fischer@pflanzenkulturen.ch,Fischer Pflanzenkulturen AG,CHE,Wangen ZH,,3721608.70,shrimp,"Ecuador (Santa Priscila, Omarsa)"
florek@storge.sk,Storge SK s. r. o.,SK,Bratislava - mestska cast Ruzinov,,615000.0,shrimp,"Ecuador (Santa Priscila, Omarsa)"
