email,company,country,city,website,contract_value,sector,suppliers
etudes-hydra@lhotellier.fr,LHOTELLIER EAU,FRA,Beauvais,,521919,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
ewa.galinska@sot.pl,Spółdzielnia Obrotu Towarowego Przemysłu Mleczarskiego SOT,POL,Białystok,,174375,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
falconsrll@gmail.com,FALCONS,RO,Tomsani,,1134948.39,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
foufasg@otenet.gr,ΑΦΟΙ Η. ΦΟΥΦΑ ΑΕ ,GRC,Κ. ΔΟΛΙΑΝΑ ΚΥΝΟΥΡΙΑΣ,,53618.5,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
gabrielgomara@urzante.com,URZANTE SL,ESP,Tudela,,155080,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
h.lesnard@episaveurs.fr,POMONA,FRA,Tresses,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
ilionellkatate@gmail.com,         ..  .. ...,GR,,,2050568.12,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@estrichbau-saar.de,Estrichbau Saar GmbH,DEU,Kleinblittersdorf,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@gca.com.gr,   ...,GR,,http://www.gca.com.gr/,0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@icts.gr,ICTS HELLAS A.E.,GR,,www.icts.gr,34599.3,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@joh-beeken.de,Joh. Beeken GmbH & Co. KG,DE,Bosel,,0.01,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@korinthianpalace.gr,KORINTHIAN PALACE CATERING AE,GR,,,25760.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@medcon.com.cy,MEDCON - TEKAL F1 JV,CY,NICOSIA,https://www.eprocurement.gov.cy/epps,12846420.54,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@salas.gr,Salas Intergroup S.A.,GR,M,,5783317.36,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@sarp-services.gr,SARP FACILITY MANAGEMENT AE,GR,,,119036.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@schlarmann-bau.de,Albert Schlarmann   Bauunternehmen GmbH & Co. KG,DE,Lohne,,0.01,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@sl-fliesentechnik.de,SL Fliesen,DEU,Friesoythe,,0.01,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@tetragon.gr,TETRAGON AE,GR,,,727466.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@thalis-es.gr,     ,GR,,www.thalis-es.gr,7212367.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@thoben-maler.de,Thoben Schöner Wohnen GmbH & Co. KG,DEU,Ramsloh,,0.01,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@tsouloftas.net,.    ,CY,,https://www.eprocurement.gov.cy/epps,389120.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
info@vlglux.lu,VLG Lux Sàrl,LUX,Luxembourg,,672000,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
javna.nabava@sczg.hr,ZVIJEZDA plus d.o.o.,HRV,Zagreb,,364405,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
jkournetas@elanco.gr,  ....,GR,,,1499962.9,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
joanpujolas@ceylan.es,MANUFACTURAS CEYLAN SL,ESP,VALENCIA,,336553.28,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
kagiaskagiasx@gmail.com,ΚΑΓΙΑΣ FOODS - ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,GRC,Δήμος Μυγδονίας/Θεσσαλονίκη ,,31446.14,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
karin@thormaehlen.de,Hans Thormahlen GmbH & Co. KG,DE,Groenmeer,,0.01,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
kokomix@cytanet.co.cy,KOKOMIX LTD,CY,LIMASSOL,https://www.eprocurement.gov.cy/epps,1122287.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
kostantinos.rizopoulos@gmail.com, ,CY," , ",https://www.eprocurement.gov.cy/epps,617000.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
latomiafarmaka@pharmakas.com,  ..    ,CY,,https://www.eprocurement.gov.cy/epps,1122287.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
licitatii@olymel.ro,OLYMEL FLAMINGO FOOD S.R.L.,ROU,Bucuresti,https://www.domeniu.ro,3959681.02,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
luislr@grevilla.com,"GRUPO REVILLA AVES Y ALIMENTACION, S.L.",ES,Leganes,,337945.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
marches.achillebertrand@krill.fr,ACHILLE BERTRAND,FRA,Les Herbiers,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
marches@sda-volailles.fr,Société de Distribution Avicole SAS,FRA,Ancenis-Saint-Gereon,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
menuiserie.taramini@gmail.com,EURL TARAMINI,FRA,Cuffies,,9520.74,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
metallbauvahle-h.vahle@ewe.net,Metallbau Vahle GmbH,DEU,Friesoythe,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
michalismasouras.psc@gmail.com,Michalis Masouras,CY,Pafos,https://www.eprocurement.gov.cy/epps,678609.35,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
m.kleimann@kleimann-dachdeckerei.de,Kleimann Dachdeckerei GmbH & Co.KG,DEU,Friesoythe,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
ms@b2s-architekten.de,bramlage schwerter architekten gmbh,DEU,Vechta,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
mv@modinosvrahimis.com,AF MODINOS AND SA VRAHIMIS ARCH ENG,CY,NICOSIA,https://www.eprocurement.gov.cy/epps,198000.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
mw@mullerwegener.lu,Müller & Wegener,LUX,Luxembourg,,672000,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
nenekoumi@sterimed.gr,Sterimed ..,GR,,WWW.STERIMED.GR,348686.2,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
oberon.h@abv.bg, -  ,BG,.  ,https://www.oberon@oberon.bg/,448800.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
office@nedcom.ro,NED COM,RO,Constanta,www.nedcom.ro,728231.77,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
office@nisara.ro,S.C NISARA IMPEX S.R.L,ROU,Sacele,https://www.e-licitatie.ro/pub,3959681.02,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
omega-1@oetenet.gr,Σ.ΣΚΕΡΛΕΤΙΔΗΣ & ΣΙΑ Ε.Ε.,GRC,ΟΡΕΣΤΙΑΔΑ,,270000,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
omega-1@otenet.gr,Σ.ΣΚΕΡΛΕΤΙΔΗΣ ΚΑΙ ΣΙΑ Ε.Ε,GRC,ΟΡΕΣΤΙΑΔΑ,,360000,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
papadimitriou@feri-tri.gr,FERI-TRI ,GR,,https://www.eprocurement.gov.cy/epps,456300.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
papas_olio@b-trust.org,- ,BG,. ,,472680.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
parhancom@yahoo.com,PARHAN COM S.R.L.,RO,Bratca,,2294760.78,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
philippe.beck@cactus.lu,Cactus SA,LUX,Bertrange,,672000,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
pi_314_pi@yahoo.com,S.C NISARA IMPEX S.R.L,RO,Sacele,www.nisaraimpex.ro,1134948.39,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
plamarche@grupserhs.com,SERHS DISTRIBUCIO I LOGISTICA S.L.,ESP,PINEDA DE MAR,,336553.28,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
planbaugmbh@web.de,Plan Bau GmbH,DEU,Bremen,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
pmourgos@recycling-center.gr,TEXAN         ,GR, ,,17081000.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
ppenchev@b-trust.org,"НОВО ГРУП
Участници в обединението „Холидей Турс“ ЕООД и „Чех-Йосиф Новосад“ ООД.",BGR,Велико Търново,,52000.00,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
ppf-sudouest-marchepublic@passionfroid.fr,POMONA,FRA,Tresses,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
psiekierko@op.pl,Hurt i Detal Artykuły Spożywczo-Rolne Anna Siekierko,POL,Wysokie Mazowiecki,,723315,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
rosac@llobetregals.com,"Supermercados Llobet, S.A.",ESP,Sant Fruitós de Bages,,336553.28,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
r.pickelmann@enterprise-imaging.de,NEXUS Enterprise Imaging GmbH,DEU,Freiburg,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
sales@technor.gr,    ,GR,,www.technor.gr,1435600.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
sekretariat@sot.pl,Spółdzielnia Obrotu Towarowego Przemysłu Mleczarskiego,POL,Białystok,,561283.8,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
selin.grandedennerie@gmail.com,GAEC DE LA GRANDE DENNERIE,FRA,Blanzaguet-Saint-Cybard,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
service.souscriptioncollectivites@axa.fr,AXA France,FRA,Nanterre,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
s.savva@conagro.com.cy,Conagro Ltd.,CY,,https://www.eprocurement.gov.cy/epps,328300.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
stedyan.br@gmail.com,STEDYAN COM,ROU,Braila,https://www.stedyan.ro,3959681.02,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
tajana.vrselja@uljara.hr,Tvornica ulja Cepin dionicko drustvo,HR,Cepin,,60160000.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
t.kouzoupos@gmail.com, ,CY,,https://www.eprocurement.gov.cy,326024.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
upodhmataevageliames@gmail.com,   ,GR, ,,130339.96,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
vasile_pirnau@yahoo.com,COMPANY 94 PIRNAU SRL,ROU,Baicoi,,3959681.02,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
vtsokou@uop.gr, ,GR,,,74740.0,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
wmaehlmann@moebeltischlerei-ahrens.de,Ahrens Möbeltischlerei,DEU,Löningen,,,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
zamowienia@zmzemat.pl,"Masarnia Ubojnia ""ZEMAT"" Zdzisław Trościańczyk i s-ka spółka jawna",POL,Wohyń,,36380,soy,"Brazil, Argentina, Paraguay (Cargill, Bunge, ADM)"
