CUI,Denumire,Judet,Localitate,CAEN,CA_2023_RON,Membri,Salariati,Telefon,Email,Cod_Inmatriculare,Data_Inmatriculare,EUID,Tip_Societate,Adresa_Completa,Contact_RNCA,Stare,Bilant_2023
42197383,DEALURI DIN BIHOR COOPERATIVĂ AGRICOLĂ,Bihor,Cauaceu,4633,12186143,5,2,,,C5/1/2020,2020-02-03,ROONRC.C5/1/2020,Cooperativa agricola de gradul 2,Nr. 290,,funcţiune,DA
44913012,COOPERATIVA AGRICOLĂ GIDO MILK,Covasna,Ghidfalău,4633,11024055,6,1,,,C14/15/2021,2021-09-16,ROONRC.C14/15/2021,Cooperativa agricola de gradul 2,Nr. 259,,funcţiune,DA
43923360,COOPERATIVĂ AGRICOLĂ GRADINA NOASTRA DIN ZARAND,Arad,Arad,4631,10891205,7,1,,,C2/4/2021,2021-03-16,ROONRC.C2/4/2021,Cooperativa agricola de gradul 2,"Str. PICTOR CORNEL MINIŞAN, Nr. 1",,funcţiune,DA
40303100,MEAT SUIN PROD COOPERATIVA AGRICOLĂ,Argeş,Bradu,1011,10792447,6,0,,,C3/3/2018,2018-12-13,ROONRC.C3/3/2018,Cooperativa agricola de gradul 2,"Str. PRINCIPALĂ, Nr. 279, Camera 3",,funcţiune,DA
39076136,COOPERATIVĂ AGRICOLĂ RÂUL NEGRU,Covasna,Cernat,4631,10286719,19,1,,negru.cv@gmail.com,C14/1/2018,2018-03-23,ROONRC.C14/1/2018,Cooperativa agricola de gradul 2,"Nr. F.N., (nr. CF 25207)",Adresa de e-mail: cooperativa.râul negru.cv@gmail.com; ,funcţiune,DA
43735880,RADIC STAR MEAT COOPERATIVĂ AGRICOLĂ,Argeş,Oraş Ştefăneşti,4632,8182120,5,0,,,C3/1/2021,2021-02-15,ROONRC.C3/1/2021,Cooperativa agricola de gradul 2,"Str. CARMANGERIEI, Nr. 205B, camera 5",,funcţiune,DA
45397009,FAT POTATO GROUP COOPERATIVĂ AGRICOLĂ,Covasna,Cernat,4631,7524089,5,0,,,C14/40/2021,2021-12-23,ROONRC.C14/40/2021,Cooperativa agricola de gradul 2,Nr. 489,,funcţiune,DA
28407161,CSENGO COOPERATIVA AGRICOLĂ,Harghita,Frumoasa,1051,7521377,145,14,0741651242,,C19/3/2011,2011-04-29,ROONRC.C19/3/2011,Cooperativa agricola de gradul 2,"Str. BISERICII, Nr. 202",Telefon mobil: 0741651242; ,funcţiune,DA
43651444,CRIŞUL NEGRU TINCA COOPERATIVĂ AGRICOLĂ,Bihor,Tinca,4632,7218908,16,2,0759547556,,C5/5/2021,2021-06-30,ROONRC.C5/5/2021,Cooperativa agricola de gradul 2,"Str. ŞCOLII, Nr. 1A",Telefon: 0759547556; ,funcţiune,DA
47647551,GRĂDINA NOASTRĂ DIN BEIUȘ COOPERATIVA AGRICOLĂ,Bihor,Beiuş,4631,7131623,6,1,0740358782,,C5/1/2023,2023-02-16,ROONRC.C5/1/2023,Cooperativa agricola de gradul 2,"Str. BURGUNDIA MARE, Nr. 60",Telefon: 0740358782; ,funcţiune,DA
39498190,COOPERATIVA AGRICOLĂ ȚIBLEȘ-SOMEȘ-MELEȘ,Bistriţa-Năsăud,Nuseni,4633,6692002,164,8,,,C6/5/2018,2018-06-15,ROONRC.C6/5/2018,Cooperativa agricola de gradul 1,Nr. 238,,funcţiune,DA
36033793,ARDEAL LACT COOPERATIVA AGRICOLĂ,Cluj,Soporu de Câmpie,4633,6663856,8,1,0763668628,,C12/3/2016,2016-05-03,ROONRC.C12/3/2016,Cooperativa agricola de gradul 2,Nr. 465,Telefon: 0763668628; ,funcţiune,DA
43513310,AGROLUDUȘ COOPERATIVĂ AGRICOLĂ,Mureş,Luduş,4631,5827788,6,0,0759547556,,C26/1/2021,2021-01-04,ROONRC.C26/1/2021,Cooperativa agricola de gradul 2,"B-dul 1 DECEMBRIE 1918, Bl. 4, Sc. A, Ap. 1, camera 1",Telefon: 0759547556; ,funcţiune,DA
40170527,AGROFROSTA COLECTARE COOPERATIVĂ AGRICOLĂ,Bihor,Apateu,1039,5741002,11,4,0770424994,,C5/6/2018,2018-11-16,ROONRC.C5/6/2018,Cooperativa agricola de gradul 2,"Str. Murelor, Nr. 25/A",Telefon: 0770424994; ,funcţiune,DA
30594371,BOVIS ALBA TRANSILVANIA  COOPERATIVA AGRICOLĂ,Alba,Alba Iulia,4633,5408987,8,2,,,C1/3/2012,2012-08-27,ROONRC.C1/3/2012,Cooperativa agricola de gradul 2,"Str. PETRU DOBRA, Nr. 11",,funcţiune,DA
40218951,REGINA CARTOFULUI COOPERATIVA AGRICOLĂ,Covasna,Cernat,4631,5368625,5,3,,,C14/5/2018,2018-11-27,ROONRC.C14/5/2018,Cooperativa agricola de gradul 1,"Str. DR. CSEH KÁROLY, Nr. 107",,funcţiune,DA
40365553,FERMA MOACȘA COOPERATIVA AGRICOLĂ,Covasna,Dalnic,4631,5330776,5,1,,,C14/1/2019,2019-01-03,ROONRC.C14/1/2019,Cooperativa agricola de gradul 1,Nr. 385,,funcţiune,DA
38946953,"GRUPUL DE PRODUCATORI ""TARA NASAUDULUI"" COOPERATIVA AGRICOLĂ",Bistriţa-Năsăud,Dumitra,4633,4931815,5,2,,,C6/1/2018,2018-02-28,ROONRC.C6/1/2018,Cooperativa agricola de gradul 1,Nr. 434/D,,funcţiune,DA
42540863,LIVEZILE AROMA COOPERATIVĂ AGRICOLĂ,Suceava,Fălticeni,4631,3839270,7,1,0744543826,,C33/3/2020,2020-05-26,ROONRC.C33/3/2020,Cooperativa agricola de gradul 2,"Str. 9 MAI, Nr. 4",Telefon: 0744543826; ,funcţiune,DA
44623620,RUSTICUS COOPERATIVĂ AGRICOLĂ,Dâmboviţa,Băleni-Români,4631,3787324,91,0,0727369566,bogdan@cibatus.ro,C15/5/2021,2021-07-21,ROONRC.C15/5/2021,Cooperativa agricola de gradul 2,"Str. Grigore Băleanu, Nr. 16",Telefon: 0727369566; Adresa de e-mail: bogdan@cibatus.ro; ,funcţiune,DA
39910478,COOPERATIVA AGRICOLĂ ARSIB,Arad,Nădlac,1011,3364349,5,2,0747699791,,C2/7/2018,2018-09-24,ROONRC.C2/7/2018,Cooperativa agricola de gradul 1,"Str. Intravilan, trup izolat, nr. U.T.R. 24",Telefon mobil: 0747699791; ,funcţiune,DA
32457222,„SITA NATURAL” COOPERATIVA AGRICOLĂ,Covasna,Sita Buzăului,4633,2877948,22,2,0749289090,,C14/1/2013,2013-11-11,ROONRC.C14/1/2013,Cooperativa agricola de gradul 2,Nr. 402C,Telefon mobil: 0749289090; ,funcţiune,DA
31289775,COOPERATIVA AGRICOLA LUNCA SOMESULUI MIC,Cluj,Dezmir,4631,2845538,12,1,"0724064125, 0751110962",,C12/5/2013,2013-02-26,ROONRC.C12/5/2013,Cooperativa agricola de gradul 2,"Str. CRIŞENI, Nr. FN, (în incinta Centrului Agro Transilvania)",Telefon: 0724064125; Telefon: 0751110962; ,funcţiune,DA
40218960,AGROFARM TURIA COOPERATIVA AGRICOLĂ,Covasna,Turia,4631,2831758,7,0,,,C14/6/2018,2018-11-27,ROONRC.C14/6/2018,Cooperativa agricola de gradul 1,Nr. 212,,funcţiune,DA
46131403,FERMA ARDELEANA COOPERATIVĂ AGRICOLĂ,Cluj,Cojocna,4631,2729196,5,0,,,C12/6/2022,2022-05-16,ROONRC.C12/6/2022,Cooperativa agricola de gradul 2,"Str. REPUBLICII, Nr. 118",,funcţiune,DA
44331987,LEGO INNOVATION GROUP COOPERATIVĂ AGRICOLĂ,Neamţ,Bodeşti,4631,2692804,5,1,,,C27/7/2021,2021-05-25,ROONRC.C27/7/2021,Cooperativa agricola de gradul 2,Nr. 305,,funcţiune,DA
45005296,LTJ AGRO COOPERATIVĂ AGRICOLĂ,Covasna,Târgu Secuiesc,4631,2530624,5,0,,,C14/25/2021,2021-10-05,ROONRC.C14/25/2021,Cooperativa agricola de gradul 1,"Str. SZŐCS JÓZSEF, Nr. 1/A",,funcţiune,DA
35479250,KÉZDI LACTO COOP  COOPERATIVA AGRICOLĂ,Covasna,Ojdula,4633,2521798,75,4,"0768402329, 0726147696",,C14/1/2016,2016-01-25,ROONRC.C14/1/2016,Cooperativa agricola de gradul 2,Nr. 598/F,Telefon mobil: 0768402329; Telefon mobil: 0726147696; Telefon mobil: 0728144201; ,funcţiune,DA
40276421,CARTOFUL DE CERNAT COOPERATIVA AGRICOLĂ,Covasna,Cernat,4631,2472546,5,1,,,C14/7/2018,2018-12-10,ROONRC.C14/7/2018,Cooperativa agricola de gradul 1,Nr. 482,,funcţiune,DA
40037297,COLINELE JIBERTULUI COOPERATIVĂ AGRICOLĂ,Braşov,Lovnic,4633,2448858,37,4,,,C8/3/2018,2018-10-23,ROONRC.C8/3/2018,Cooperativa agricola de gradul 2,"Nr. 75, Et. subsol, cam. 1",,funcţiune,DA
20167985,COOPERATIVA AGRICOLĂ  GRUP DE PRODUCĂTORI FRUTIS VOINEŞTI COOPERATIVĂ AGRICOLĂ,Dâmboviţa,Voineşti,4631,2424735,9,1,"0723365957, 0245679325",,J15/1397/2006,2006-12-21,ROONRC.J15/1397/2006,Cooperativa agricola de gradul 2,Nr. 4,Telefon: 0723365957; Telefon: 0245679325; ,funcţiune,DA
41446087,BIOMEAT TRANSILVANIA COOPERATIVĂ AGRICOLĂ,Mureş,Saschiz,4632,2391234,10,3,,,C26/1/2019,2019-07-25,ROONRC.C26/1/2019,Cooperativa agricola de gradul 2,"Nr. DN 13 E.60, K.M.91+300",,funcţiune,DA
43410667,ȚARA CĂLATEI COOPERATIVĂ AGRICOLĂ,Cluj,Călăţele,4633,2373443,21,1,,,C12/21/2020,2020-12-04,ROONRC.C12/21/2020,Cooperativa agricola de gradul 2,Nr. 508,,funcţiune,DA
44929027,AGRO CARERA COOPERATIVĂ AGRICOLĂ,Covasna,Turia,4631,2235635,5,0,,,C14/20/2021,2021-09-20,ROONRC.C14/20/2021,Cooperativa agricola de gradul 1,Nr. 867B,,funcţiune,DA
44813323,CARTOFUL FERMECAT COOPERATIVĂ AGRICOLĂ,Covasna,Sânzieni,4631,2212161,5,0,,,C14/9/2021,2021-08-30,ROONRC.C14/9/2021,Cooperativa agricola de gradul 2,Nr. 41C1,,funcţiune,DA
40730039,COOP TRADE LUNGULEŢU COOPERATIVĂ AGRICOLĂ,Dâmboviţa,Lunguleţu,4631,2177254,6,0,0730816476,,C15/2/2019,2019-03-04,ROONRC.C15/2/2019,Cooperativa agricola de gradul 2,"Str. Dositei Filitti, Nr. 21",Telefon mobil: 0730816476; ,funcţiune,DA
44219640,ECOCARPATHIAN COOPERATIVĂ AGRICOLĂ,Prahova,Urleta,4631,2127125,7,0,0745257464,dragosal@yahoo.com,C29/1/2021,2021-05-04,ROONRC.C29/1/2021,Cooperativa agricola de gradul 2,"Str. Morii, Nr. 66B",Telefon: 0745 257 464; Adresa de e-mail: dragosal@yahoo.com; ,funcţiune,DA
28403798,PRELUCRAREA ŞI VALORIFICAREA LAPTELUI TROTUŞ COOPERATIVA AGRICOLĂ,Harghita,Lunca de Jos,1051,2117287,87,16,"0266371513, 0266371513",gyimesmilch@gmail.com,C19/2/2011,2011-04-28,ROONRC.C19/2/2011,Cooperativa agricola de gradul 2,Nr. 610,Telefon: 0266371513; Fax: 0266371513; Telefon mobil: 0726514699; Telefon mobil: 0725516248; Adresa de e-mail: gyimesmilch@gmail.com; ,funcţiune,DA
